problema,perc,rank,fecha,str_perc
Falta de empleo,55.1,1,Jul 2004,55.1 %
Pobreza,43,2,Jul 2004,43 %
Corrupción,16.3,3,Jul 2004,16.3 %
Falta de apoyo a la agricultura,15.4,4,Jul 2004,15.4 %
Falta de credibilidad del gobierno,14.8,5,Jul 2004,14.8 %
Falta de empleo,55.1,1,Aug 2004,55.1 %
Pobreza,48,2,Aug 2004,48 %
Corrupción,16.5,3,Aug 2004,16.5 %
Falta de apoyo a la agricultura,14.8,4,Aug 2004,14.8 %
Falta de credibilidad del gobierno,11,5,Aug 2004,11 %
Falta de empleo,53.7,1,Sep 2004,53.7 %
Pobreza,46,2,Sep 2004,46 %
Falta de apoyo a la agricultura,17.9,3,Sep 2004,17.9 %
Corrupción,14,4,Sep 2004,14 %
Falta de credibilidad del gobierno,11.5,5,Sep 2004,11.5 %
Falta de empleo,49.7,1,Oct 2004,49.7 %
Pobreza,42,2,Oct 2004,42 %
Falta de apoyo a la agricultura,16.7,3,Oct 2004,16.7 %
Corrupción,15.1,4,Oct 2004,15.1 %
Falta de credibilidad del gobierno,13.2,5,Oct 2004,13.2 %
Falta de empleo,50.4,1,Nov 2004,50.4 %
Pobreza,41.5,2,Nov 2004,41.5 %
Corrupción,16.1,3,Nov 2004,16.1 %
Falta de apoyo a la agricultura,14.4,4,Nov 2004,14.4 %
Bajos sueldos,11,5,Nov 2004,11 %
Falta de empleo,48.2,1,Dec 2004,48.2 %
Pobreza,44.7,2,Dec 2004,44.7 %
Corrupción,19.3,3,Dec 2004,19.3 %
Falta de apoyo a la agricultura,18.5,4,Dec 2004,18.5 %
Bajos sueldos,11.2,5,Dec 2004,11.2 %
Falta de empleo,52,1,Jan 2005,52 %
Pobreza,42.4,2,Jan 2005,42.4 %
Corrupción,18.2,3,Jan 2005,18.2 %
Falta de apoyo a la agricultura,15.5,4,Jan 2005,15.5 %
Bajos sueldos,11.6,5,Jan 2005,11.6 %
Falta de empleo,52,1,Feb 2005,52 %
Pobreza,45.9,2,Feb 2005,45.9 %
Falta de apoyo a la agricultura,18,3,Feb 2005,18 %
Corrupción,17.6,4,Feb 2005,17.6 %
Falta de credibilidad del gobierno,10.6,5,Feb 2005,10.6 %
Falta de empleo,50.3,1,Mar 2005,50.3 %
Pobreza,45.5,2,Mar 2005,45.5 %
Corrupción,19.6,3,Mar 2005,19.6 %
Falta de apoyo a la agricultura,16.4,4,Mar 2005,16.4 %
Bajos sueldos,11.6,5,Mar 2005,11.6 %
Falta de empleo,49.3,1,Apr 2005,49.3 %
Pobreza,46.1,2,Apr 2005,46.1 %
Corrupción,17,3,Apr 2005,17 %
Falta de apoyo a la agricultura,16.5,4,Apr 2005,16.5 %
Falta de credibilidad del gobierno,10.9,5,Apr 2005,10.9 %
Falta de empleo,50.6,1,May 2005,50.6 %
Pobreza,46.4,2,May 2005,46.4 %
Corrupción,17.7,3,May 2005,17.7 %
Falta de apoyo a la agricultura,14.8,4,May 2005,14.8 %
Bajos sueldos,10.4,5,May 2005,10.4 %
Falta de empleo,50,1,Jun 2005,50 %
Pobreza,44.3,2,Jun 2005,44.3 %
Falta de apoyo a la agricultura,16.7,3,Jun 2005,16.7 %
Corrupción,16.2,4,Jun 2005,16.2 %
Bajos sueldos,9.7,5,Jun 2005,9.7 %
Falta de empleo,50.7,1,Jul 2005,50.7 %
Pobreza,44.4,2,Jul 2005,44.4 %
Corrupción,18.6,3,Jul 2005,18.6 %
Falta de apoyo a la agricultura,17.8,4,Jul 2005,17.8 %
Falta de credibilidad del gobierno,10.1,5,Jul 2005,10.1 %
Falta de empleo,50.8,1,Aug 2005,50.8 %
Pobreza,41.3,2,Aug 2005,41.3 %
Corrupción,17.3,3,Aug 2005,17.3 %
Falta de apoyo a la agricultura,16.6,4,Aug 2005,16.6 %
Falta de credibilidad del gobierno,9.8,5,Aug 2005,9.8 %
Falta de empleo,48.2,1,Sep 2005,48.2 %
Pobreza,42.1,2,Sep 2005,42.1 %
Falta de apoyo a la agricultura,17.8,3,Sep 2005,17.8 %
Corrupción,15.1,4,Sep 2005,15.1 %
Bajos sueldos,12.7,5,Sep 2005,12.7 %
Falta de empleo,47.9,1,Oct 2005,47.9 %
Pobreza,43.9,2,Oct 2005,43.9 %
Falta de apoyo a la agricultura,18.1,3,Oct 2005,18.1 %
Corrupción,15.6,4,Oct 2005,15.6 %
Bajos sueldos,11.1,5,Oct 2005,11.1 %
Falta de empleo,47.5,1,Nov 2005,47.5 %
Pobreza,43.3,2,Nov 2005,43.3 %
Falta de apoyo a la agricultura,17.3,3,Nov 2005,17.3 %
Corrupción,17,4,Nov 2005,17 %
Falta de credibilidad del gobierno,9,5,Nov 2005,9 %
Falta de empleo,47.2,1,Dec 2005,47.2 %
Pobreza,47,2,Dec 2005,47 %
Falta de apoyo a la agricultura,17.4,3,Dec 2005,17.4 %
Corrupción,16.8,4,Dec 2005,16.8 %
Bajos sueldos,9.1,5,Dec 2005,9.1 %
Falta de empleo,49.2,1,Jan 2006,49.2 %
Pobreza,44.5,2,Jan 2006,44.5 %
Corrupción,17.6,3,Jan 2006,17.6 %
Falta de apoyo a la agricultura,17.3,4,Jan 2006,17.3 %
Bajos sueldos,10,5,Jan 2006,10 %
Falta de empleo,46,1,Feb 2006,46 %
